1000 999
753 806 250
914 671 189
388 113 164
102 36 226
433 152 127
749 442 172
614 576 94
809 664 149
915 536 193
126 545 170
139 329 240
164 481 182
704 45 220
836 645 146
883 777 93
237 556 270
957 377 57
599 168 10
167 271 263
87 733 89
383 896 66
864 969 105
745 221 259
405 860 50
343 312 131
386 5 177
254 336 40
75 431 6
870 383 214
28 185 207
752 293 229
459 946 249
891 998 178
789 949 63
920 321 117
25 275 121
664 952 32
579 947 223
344 924 60
4 49 166
588 439 195
321 726 194
542 563 87
121 332 286
817 283 62
12 254 38
628 319 2
414 480 179
318 856 52
978 103 220
44 190 255
648 899 165
183 179 223
926 258 88
560 997 47
553 422 70
849 225 215
667 740 226
335 328 56
794 936 270
611 652 33
980 363 167
299 343 210
600 405 241
174 299 72
101 73 32
647 253 23
199 84 210
973 133 248
17 495 53
806 55 26
48 615 216
745 513 175
448 707 194
495 487 172
104 838 231
724 390 158
228 652 229
12 268 98
639 388 208
982 378 167
191 106 235
209 47 246
889 275 162
916 129 189
556 500 164
928 970 145
573 595 234
836 588 197
983 258 275
227 864 168
119 972 195
463 3 97
163 378 207
123 253 27
340 685 247
38 56 252
615 342 273
277 329 147
242 133 265
573 219 264
413 666 138
148 574 23
578 542 237
533 276 59
800 212 208
361 762 153
788 697 177
292 984 132
272 493 181
311 506 107
549 308 74
952 971 47
293 660 21
442 909 82
646 104 203
538 941 197
604 715 242
263 97 92
588 374 242
165 773 82
922 162 49
414 869 242
632 361 190
214 623 157
259 128 91
108 900 20
523 671 157
830 540 82
47 880 238
677 225 181
440 33 235
291 533 91
937 168 122
238 980 135
238 1 115
318 194 48
188 773 65
713 209 7
296 450 133
165 638 34
604 267 80
41 248 219
803 435 90
210 351 94
677 962 279
44 797 233
204 565 49
315 868 255
787 43 64
848 574 105
195 148 18
8 608 199
71 672 136
541 188 299
752 218 277
60 678 262
801 537 55
90 415 142
744 6 209
916 48 94
327 547 78
44 657 144
228 939 99
435 392 170
266 524 298
601 830 283
511 773 167
790 673 147
761 11 92
538 790 270
490 982 86
380 699 81
436 27 36
214 440 66
966 710 170
838 282 134
765 398 72
427 284 72
69 616 71
989 90 162
5 967 232
214 859 143
902 81 170
761 170 250
170 768 167
236 527 287
299 227 204
646 665 172
682 347 179
433 26 32
880 983 120
786 713 116
598 932 226
749 45 269
43 57 134
842 239 216
660 796 5
231 223 218
906 653 21
698 604 102
498 769 278
809 782 234
101 39 197
844 676 127
811 801 219
842 582 290
690 16 175
249 825 289
368 422 242
658 540 226
271 340 273
19 490 267
854 548 165
359 415 178
248 376 98
588 173 40
255 575 255
142 819 205
229 904 66
687 543 294
528 280 164
533 98 262
119 422 30
876 796 100
677 950 245
781 80 216
551 262 203
634 919 254
283 98 15
61 403 60
131 350 206
110 32 130
731 595 299
233 205 142
614 850 245
177 933 20
175 993 140
977 238 53
970 238 37
254 406 181
107 134 74
93 602 297
237 45 124
225 489 229
338 414 255
582 875 242
822 525 1
604 567 246
43 288 203
520 620 26
611 45 219
59 426 276
176 341 157
594 378 233
504 622 299
448 75 122
82 542 212
751 344 153
949 278 59
1 132 240
203 731 88
599 335 53
213 283 212
54 919 196
345 598 175
127 863 71
119 348 247
528 649 279
402 534 60
71 861 102
875 939 296
883 135 185
161 792 227
257 898 183
531 110 227
532 259 36
957 817 230
407 349 71
603 437 41
398 259 98
786 639 257
53 741 14
367 982 284
583 590 147
582 598 209
925 335 211
760 787 139
224 628 162
705 254 295
256 119 100
346 972 237
147 546 277
520 234 132
145 742 134
21 337 295
581 142 242
943 645 201
582 759 97
902 543 105
819 517 25
266 22 53
744 479 10
881 548 139
746 879 212
831 858 14
866 880 49
949 525 203
975 571 126
107 41 234
181 616 70
629 956 240
414 621 294
295 72 63
281 940 85
263 967 48
454 577 246
310 223 134
264 756 50
498 986 245
42 458 268
500 276 5
748 203 80
449 910 149
554 628 169
414 461 59
256 420 98
486 291 221
81 178 66
401 68 178
531 475 176
717 865 186
608 573 121
305 139 217
928 862 75
863 164 12
504 994 112
80 143 91
803 864 259
528 693 11
462 214 296
392 225 220
110 929 146
21 501 127
335 961 100
30 344 233
241 820 23
414 308 115
780 589 250
459 891 271
576 493 246
947 583 263
255 401 136
730 780 284
758 318 219
158 559 164
428 190 61
896 982 102
190 422 169
653 854 125
28 774 243
92 991 225
514 214 4
970 292 251
499 820 64
300 529 242
788 577 211
330 168 190
769 116 80
185 123 182
185 493 157
318 58 79
446 800 237
767 894 226
613 291 288
122 44 2
559 772 70
484 482 148
969 32 235
631 97 242
414 182 103
